Month, Actual_sales, Forecast_sales_1, Forecast_sales_2, Forecast_sales_3
2018-05,497,491.24036694515286,496.36870152157957,490.9191083103342
2018-06,605,490.8612112504691,499.8234236505322,490.9191083103342
2018-07,537,490.48205555578545,503.3021906174285,490.9191083103342
2018-08,492,490.1028998611017,506.80516977414476,490.9191083103342
2018-09,477,489.723744166418,510.33252963732554,490.9191083103342
2018-10,376,489.34458847173426,513.8844398964897,490.9191083103342
2018-11,480,488.9654327770506,517.4610714221939,490.9191083103342
2018-12,493,488.58627708236685,521.0625962742521,490.9191083103342
2019-01,368,488.2071213876831,524.6891877100136,490.9191083103342
2019-02,375,487.8279656929994,528.3410201926972,490.9191083103342
2019-03,391,487.4488099983157,532.0182693997846,490.9191083103342
2019-04,364,487.069654303632,535.7211122314707,490.9191083103342
