Month, Actual_sales, Forecast_sales_0.2, Forecast_sales_0.6, Forecast_sales_auto_optimize
2018-05,136,157.4971939203354,146.7275889561542,154.9704988478937
2018-06,173,157.4971939203354,146.7275889561542,154.9704988478937
2018-07,142,157.4971939203354,146.7275889561542,154.9704988478937
2018-08,138,157.4971939203354,146.7275889561542,154.9704988478937
2018-09,126,157.4971939203354,146.7275889561542,154.9704988478937
2018-10,157,157.4971939203354,146.7275889561542,154.9704988478937
2018-11,158,157.4971939203354,146.7275889561542,154.9704988478937
2018-12,198,157.4971939203354,146.7275889561542,154.9704988478937
2019-01,173,157.4971939203354,146.7275889561542,154.9704988478937
2019-02,163,157.4971939203354,146.7275889561542,154.9704988478937
2019-03,143,157.4971939203354,146.7275889561542,154.9704988478937
2019-04,118,157.4971939203354,146.7275889561542,154.9704988478937
